sampleId;datasetId
ERR4082738;1
ERR4082739;1
ERR4082740;1
ERR4082742;1
ERR4082743;1
ERR4082745;1
ERR4082747;1
ERR4082748;1
ERR4082749;1
ERR4082752;1
ERR4082753;1
ERR4082756;1
ERR4082758;1
ERR4082761;1
ERR4082762;1
ERR4082763;1
ERR4082765;1
ERR4082766;1
ERR4082767;1
ERR4082769;1
ERR4082770;1
ERR4082771;1
ERR4082772;1
ERR4082774;1
ERR4082775;1
ERR4082777;1
ERR4082778;1
ERR4082779;1
ERR4082780;1
ERR4082782;1
ERR4082783;1
ERR4082784;1
ERR4082785;1
ERR4082786;1
ERR4082787;1
ERR4082788;1
ERR4082789;1
ERR4082790;1
ERR4082791;1
ERR4082792;1
ERR4082793;1
ERR4082794;1
ERR4082795;1
ERR4082796;1
ERR4082798;1
ERR4082799;1
ERR4082800;1
ERR4082801;1
ERR4082802;1
ERR4082803;1
ERR4082804;1
ERR4082805;1
ERR4082807;1
ERR4082808;1
ERR4082809;1
ERR4082810;1
ERR4082812;1
ERR4082831;1
ERR4082832;1
ERR4082833;1
ERR4082834;1
ERR4082835;1
ERR4082836;1
ERR4082837;1
ERR4082838;1
ERR4082839;1
ERR4082840;1
ERR4082841;1
ERR4082842;1
ERR4082843;1
ERR4082844;1
ERR4082846;1
ERR4082847;1
ERR4082848;1
ERR4082849;1
ERR4082850;1
ERR4082851;1
ERR4082852;1
ERR4082853;1
ERR4082854;1
ERR4082855;1
ERR4082857;1
ERR4082858;1
ERR4082859;1
ERR4082860;1
ERR4082862;1
ERR4082863;1
ERR4082864;1
ERR4082865;1
ERR4082866;1
ERR4082867;1
ERR4082868;1
ERR4082869;1
ERR4082870;1
ERR4082872;1
ERR4082873;1
ERR4082874;1
ERR4082875;1
ERR4082876;1
ERR4082877;1
ERR4082878;1
ERR4082879;1
ERR4082881;1
ERR4082882;1
ERR4082883;1
ERR4082884;1
ERR4082885;1
ERR4082886;1
ERR4082887;1
ERR4082888;1
ERR4082889;1
ERR4082890;1
ERR4082891;1
ERR4082892;1
ERR4082894;1
ERR4082897;1
ERR4082898;1
ERR4082899;1
ERR4082900;1
ERR4082901;1
ERR4082902;1
ERR4082903;1
ERR4082904;1
ERR4082905;1
ERR4082906;1
ERR4082907;1
ERR4082908;1
ERR4082909;1
ERR4082910;1
ERR4082911;1
ERR4082914;1
ERR4082916;1
ERR4082917;1
ERR4082918;1
ERR4082919;1
ERR4082920;1
ERR4082929;1
ERR4082930;1
ERR4082932;1
ERR4082933;1
ERR4082934;1
ERR4082935;1
ERR4082936;1
ERR4082937;1
ERR4082938;1
ERR4082939;1
ERR4082940;1
ERR4082942;1
ERR4082943;1
ERR4082945;1
ERR4082946;1
ERR4082947;1
ERR4082948;1
ERR4082949;1
ERR4082950;1
ERR4082951;1
ERR4082952;1
ERR4082953;1
ERR4082954;1
ERR4082956;1
ERR4082957;1
ERR4085109;1
ERR4085110;1
ERR4085111;1
ERR4085112;1
ERR4085114;1
ERR4085116;1
ERR4085118;1
ERR4085119;1
ERR4085120;1
ERR4085121;1
ERR4085122;1
ERR4085123;1
ERR4085124;1
ERR4085125;1
ERR4085127;1
ERR4085128;1
ERR4085131;1
ERR4085133;1
ERR4085134;1
ERR4085135;1
ERR4085136;1
ERR4085137;1
ERR4085139;1
ERR4085140;1
ERR4085142;1
ERR4085143;1
ERR4085144;1
ERR4085145;1
ERR4085146;1
ERR4085147;1
ERR4085148;1
ERR4085149;1
ERR4085150;1
ERR4085151;1
ERR4085153;1
ERR4085154;1
ERR4085156;1
ERR4085157;1
ERR4085158;1
ERR4085163;1
ERR4085164;1
ERR4085166;1
ERR4085169;1
ERR4085170;1
ERR4085173;1
ERR4085174;1
ERR4085175;1
ERR4085176;1
ERR4085177;1
ERR4085178;1
ERR4085179;1
ERR4085181;1
ERR4085183;1
ERR4085184;1
ERR4085185;1
ERR4085186;1
ERR4085187;1
ERR4085188;1
ERR4085189;1
ERR4085194;1
ERR4085195;1
ERR4085200;1
ERR4085202;1
ERR4085203;1
ERR4085206;1
ERR4085207;1
ERR4085208;1
ERR4085209;1
ERR4085210;1
ERR4085211;1
ERR4085212;1
ERR4085213;1
ERR4085214;1
ERR4085215;1
ERR4085216;1
ERR4085217;1
ERR4085218;1
ERR4085219;1
ERR4085220;1
ERR4085221;1
ERR4085222;1
ERR4085224;1
ERR4085225;1
ERR4085227;1
ERR4085229;1
ERR4085230;1
ERR4085231;1
ERR4085232;1
ERR4085233;1
ERR4085234;1
ERR4085235;1
ERR4085236;1
ERR4085239;1
ERR4085240;1
ERR4085241;1
ERR4085243;1
ERR4085244;1
ERR4085245;1
ERR4085248;1
ERR4085249;1
ERR4085250;1
ERR4085252;1
ERR4085253;1
ERR4085254;1
ERR4085256;1
ERR4085257;1
ERR4085258;1
ERR4085259;1
ERR4085260;1
ERR4085261;1
ERR4085262;1
ERR4085263;1
ERR4085264;1
ERR4085266;1
ERR4085267;1
ERR4085268;1
ERR4085269;1
ERR4085270;1
ERR4085272;1
ERR4085273;1
ERR4085274;1
ERR4085275;1
ERR4085276;1
ERR4085277;1
ERR4085278;1
ERR4085279;1
ERR4085280;1
ERR4085281;1
ERR4085282;1
ERR4085283;1
ERR4085284;1
ERR4085285;1
ERR4085289;1
ERR4085290;1
ERR4085291;1
ERR4085292;1
ERR4085293;1
ERR4085294;1
ERR4085369;1
ERR4085371;1
ERR4085372;1
ERR4085373;1
ERR4085374;1
ERR4085376;1
ERR4085378;1
ERR4085379;1
ERR4085380;1
ERR4085383;1
ERR4085384;1
ERR4085385;1
ERR4085386;1
ERR4085387;1
ERR4085388;1
ERR4085390;1
ERR4085391;1
ERR4085392;1
ERR4085394;1
ERR4085395;1
ERR4085397;1
ERR4085398;1
ERR4085400;1
ERR4085401;1
ERR4085403;1
ERR4085404;1
ERR4085406;1
ERR4085407;1
ERR4085408;1
ERR4085409;1
ERR4085410;1
ERR4085411;1
ERR4085412;1
ERR4085413;1
ERR4085414;1
ERR4085415;1
ERR4085416;1
ERR4085417;1
ERR4085418;1
ERR4085419;1
ERR4085423;1
ERR4085424;1
ERR4085425;1
ERR4085426;1
ERR4085427;1
ERR4085429;1
ERR4085430;1
ERR4085431;1
ERR4085432;1
ERR4085434;1
ERR4085435;1
ERR4085437;1
ERR4085439;1
ERR4085440;1
ERR4085441;1
SRR11059940;1
SRR11059941;1
SRR11059942;1
SRR11059943;1
SRR11059944;1
SRR11059945;1
SRR11059946;1
SRR11059947;1
SRR11140744;1
SRR11140746;1
SRR11140748;1
SRR11140750;1
SRR11177792;1
SRR11241254;1
SRR11241255;1
SRR11247075;1
SRR11247076;1
SRR11247077;1
SRR11247078;1
SRR11278090;1
SRR11278091;1
SRR11278092;1
SRR11278164;1
SRR11278165;1
SRR11278166;1
SRR11278167;1
SRR11278168;1
SRR11314339;1
SRR11393704;1
SRR11397714;1
SRR11397715;1
SRR11397716;1
SRR11397717;1
SRR11397718;1
SRR11397719;1
SRR11397720;1
SRR11397721;1
SRR11397728;1
SRR11397729;1
SRR11397730;1
SRR11409417;1
SRR11410528;1
SRR11410529;1
SRR11410532;1
SRR11410533;1
SRR11410536;1
SRR11410538;1
SRR11410540;1
SRR11410541;1
SRR11410542;1
SRR11454606;1
SRR11454607;1
SRR11454608;1
SRR11454609;1
SRR11454610;1
SRR11454611;1
SRR11454612;1
SRR11454613;1
SRR11454614;1
SRR11454615;1
SRR11476445;1
SRR11476446;1
SRR11476447;1
SRR11476448;1
SRR11476449;1
SRR11476452;1
SRR11476453;1
SRR11476454;1
SRR11476456;1
SRR11476457;1
SRR11476458;1
SRR11476459;1
SRR11476460;1
SRR11476461;1
SRR11476462;1
SRR11476463;1
SRR11476464;1
SRR11476465;1
SRR11479027;1
SRR11479028;1
SRR11479029;1
SRR11479030;1
SRR11479031;1
SRR11479032;1
SRR11479033;1
SRR11479034;1
SRR11479035;1
SRR11479036;1
SRR11479037;1
SRR11479038;1
SRR11479039;1
SRR11479040;1
SRR11479041;1
SRR11479042;1
SRR11479043;1
SRR11479044;1
SRR11479045;1
SRR11479046;1
SRR11491744;1
SRR11491745;1
SRR11491746;1
SRR11491747;1
SRR11491748;1
SRR11491749;1
SRR11491750;1
SRR11491751;1
SRR11491752;1
SRR11491753;1
SRR11491754;1
SRR11491755;1
SRR11491756;1
SRR11491757;1
SRR11491758;1
SRR11491759;1
SRR11491760;1
SRR11491761;1
SRR11491762;1
SRR11491763;1
SRR11491764;1
SRR11491765;1
SRR11491766;1
SRR11491767;1
SRR11491768;1
SRR11491769;1
SRR11491770;1
SRR11491771;1
SRR11491772;1
SRR11494452;1
SRR11494453;1
SRR11494454;1
SRR11494455;1
SRR11494456;1
SRR11494457;1
SRR11494458;1
SRR11494459;1
SRR11494460;1
SRR11494461;1
SRR11494462;1
SRR11494463;1
SRR11494464;1
SRR11494465;1
SRR11494466;1
SRR11494467;1
SRR11494468;1
SRR11494469;1
SRR11494470;1
SRR11494471;1
SRR11494472;1
SRR11494473;1
SRR11494474;1
SRR11494475;1
SRR11494476;1
SRR11494477;1
SRR11494478;1
SRR11494479;1
SRR11494480;1
SRR11494481;1
SRR11494482;1
SRR11494483;1
SRR11494484;1
SRR11494485;1
SRR11494486;1
SRR11494487;1
SRR11494488;1
SRR11494489;1
SRR11494490;1
SRR11494491;1
SRR11494492;1
SRR11494493;1
SRR11494494;1
SRR11494495;1
SRR11494496;1
SRR11494497;1
SRR11494498;1
SRR11494499;1
SRR11494500;1
SRR11494501;1
SRR11494502;1
SRR11494503;1
SRR11494504;1
SRR11494505;1
SRR11494506;1
SRR11494507;1
SRR11494508;1
SRR11494509;1
SRR11494510;1
SRR11494511;1
SRR11494512;1
SRR11494513;1
SRR11494514;1
SRR11494515;1
SRR11494516;1
SRR11494517;1
SRR11494518;1
SRR11494519;1
SRR11494520;1
SRR11494521;1
SRR11494522;1
SRR11494523;1
SRR11494524;1
SRR11494525;1
SRR11494526;1
SRR11494527;1
SRR11494528;1
SRR11494529;1
SRR11494530;1
SRR11494531;1
SRR11494532;1
SRR11494533;1
SRR11494534;1
SRR11494535;1
SRR11494536;1
SRR11494537;1
SRR11494538;1
SRR11494539;1
SRR11494540;1
SRR11494541;1
SRR11494542;1
SRR11494543;1
SRR11494544;1
SRR11494545;1
SRR11494546;1
SRR11494547;1
SRR11494548;1
SRR11494549;1
SRR11494550;1
SRR11494551;1
SRR11494552;1
SRR11494553;1
SRR11494554;1
SRR11494555;1
SRR11494556;1
SRR11494557;1
SRR11494558;1
SRR11494559;1
SRR11494560;1
SRR11494561;1
SRR11494562;1
SRR11494563;1
SRR11494564;1
SRR11494565;1
SRR11494566;1
SRR11494567;1
SRR11494568;1
SRR11494569;1
SRR11494570;1
SRR11494571;1
SRR11494572;1
SRR11494573;1
SRR11494574;1
SRR11494575;1
SRR11494576;1
SRR11494577;1
SRR11494578;1
SRR11494579;1
SRR11494580;1
SRR11494581;1
SRR11494582;1
SRR11494583;1
SRR11494584;1
SRR11494585;1
SRR11494586;1
SRR11494587;1
SRR11494588;1
SRR11494589;1
SRR11494590;1
SRR11494591;1
SRR11494592;1
SRR11494593;1
SRR11494594;1
SRR11494595;1
SRR11494596;1
SRR11494597;1
SRR11494598;1
SRR11494599;1
SRR11494600;1
SRR11494601;1
SRR11494602;1
SRR11494603;1
SRR11494604;1
SRR11494605;1
SRR11494606;1
SRR11494607;1
SRR11494608;1
SRR11494609;1
SRR11494610;1
SRR11494611;1
SRR11494612;1
SRR11494613;1
SRR11494614;1
SRR11494615;1
SRR11494616;1
SRR11494617;1
SRR11494618;1
SRR11494619;1
SRR11494620;1
SRR11494621;1
SRR11494622;1
SRR11494623;1
SRR11494624;1
SRR11494625;1
SRR11494626;1
SRR11494627;1
SRR11494628;1
SRR11494629;1
SRR11494630;1
SRR11494631;1
SRR11494632;1
SRR11494633;1
SRR11494634;1
SRR11494635;1
SRR11494636;1
SRR11494637;1
SRR11494638;1
SRR11494639;1
SRR11494640;1
SRR11494641;1
SRR11494642;1
SRR11494643;1
SRR11494644;1
SRR11494645;1
SRR11494646;1
SRR11494647;1
SRR11494648;1
SRR11494649;1
SRR11494650;1
SRR11494651;1
SRR11494652;1
SRR11494653;1
SRR11494654;1
SRR11494655;1
SRR11494656;1
SRR11494657;1
SRR11494658;1
SRR11494659;1
SRR11494660;1
SRR11494661;1
SRR11494662;1
SRR11494663;1
SRR11494664;1
SRR11494665;1
SRR11494666;1
SRR11494667;1
SRR11494668;1
SRR11494669;1
SRR11494670;1
SRR11494671;1
SRR11494672;1
SRR11494673;1
SRR11494674;1
SRR11494675;1
SRR11494676;1
SRR11494677;1
SRR11494678;1
SRR11494679;1
SRR11494680;1
SRR11494681;1
SRR11494682;1
SRR11494683;1
SRR11494684;1
SRR11494685;1
SRR11494686;1
SRR11494687;1
SRR11494688;1
SRR11494689;1
SRR11494690;1
SRR11494691;1
SRR11494692;1
SRR11494693;1
SRR11494694;1
SRR11494695;1
SRR11494696;1
SRR11494697;1
SRR11494698;1
SRR11494699;1
SRR11494700;1
SRR11494701;1
SRR11494702;1
SRR11494703;1
SRR11494704;1
SRR11494705;1
SRR11494706;1
