sampleId;datasetId
EPI_ISL_402120;1
EPI_ISL_402121;1
EPI_ISL_402123;1
EPI_ISL_402127;1
EPI_ISL_402128;1
EPI_ISL_402130;1
EPI_ISL_402132;1
EPI_ISL_403928;1
EPI_ISL_403930;1
EPI_ISL_403931;1
EPI_ISL_403932;1
EPI_ISL_403933;1
EPI_ISL_403934;1
EPI_ISL_403935;1
EPI_ISL_403936;1
EPI_ISL_403937;1
EPI_ISL_404227;1
EPI_ISL_404253;1
EPI_ISL_404895;1
EPI_ISL_405839;1
EPI_ISL_406030;1
EPI_ISL_406031;1
EPI_ISL_406034;1
EPI_ISL_406036;1
EPI_ISL_406223;1
EPI_ISL_406531;1
EPI_ISL_406533;1
EPI_ISL_406534;1
EPI_ISL_406535;1
EPI_ISL_406536;1
EPI_ISL_406592;1
EPI_ISL_406593;1
EPI_ISL_406596;1
EPI_ISL_406597;1
EPI_ISL_406798;1
EPI_ISL_406801;1
EPI_ISL_406844;1
EPI_ISL_406862;1
EPI_ISL_406973;1
EPI_ISL_407071;1
EPI_ISL_407073;1
EPI_ISL_407084;1
EPI_ISL_407193;1
EPI_ISL_407214;1
EPI_ISL_407215;1
EPI_ISL_407893;1
EPI_ISL_407894;1
EPI_ISL_407896;1
EPI_ISL_407976;1
EPI_ISL_407987;1
EPI_ISL_407988;1
EPI_ISL_408008;1
EPI_ISL_408009;1
EPI_ISL_408010;1
EPI_ISL_408430;1
EPI_ISL_408431;1
EPI_ISL_408478;1
EPI_ISL_408480;1
EPI_ISL_408481;1
EPI_ISL_408482;1
EPI_ISL_408484;1
EPI_ISL_408485;1
EPI_ISL_408486;1
EPI_ISL_408488;1
EPI_ISL_408489;1
EPI_ISL_408665;1
EPI_ISL_408666;1
EPI_ISL_408667;1
EPI_ISL_408668;1
EPI_ISL_408669;1
EPI_ISL_408670;1
EPI_ISL_408976;1
EPI_ISL_408977;1
EPI_ISL_408978;1
EPI_ISL_409067;1
EPI_ISL_410045;1
EPI_ISL_410218;1
EPI_ISL_410301;1
EPI_ISL_410535;1
EPI_ISL_410536;1
EPI_ISL_410537;1
EPI_ISL_410545;1
EPI_ISL_410546;1
EPI_ISL_410713;1
EPI_ISL_410714;1
EPI_ISL_410715;1
EPI_ISL_410716;1
EPI_ISL_410717;1
EPI_ISL_410718;1
EPI_ISL_410719;1
EPI_ISL_410720;1
EPI_ISL_410984;1
EPI_ISL_411060;1
EPI_ISL_411066;1
EPI_ISL_411218;1
EPI_ISL_411219;1
EPI_ISL_411220;1
EPI_ISL_411902;1
EPI_ISL_411926;1
EPI_ISL_411929;1
EPI_ISL_411950;1
EPI_ISL_411951;1
EPI_ISL_411952;1
EPI_ISL_411954;1
EPI_ISL_411955;1
EPI_ISL_411956;1
EPI_ISL_412028;1
EPI_ISL_412029;1
EPI_ISL_412030;1
EPI_ISL_412116;1
EPI_ISL_412459;1
EPI_ISL_412862;1
EPI_ISL_412869;1
EPI_ISL_412870;1
EPI_ISL_412871;1
EPI_ISL_412872;1
EPI_ISL_412873;1
EPI_ISL_412898;1
EPI_ISL_412912;1
EPI_ISL_412964;1
EPI_ISL_412965;1
EPI_ISL_412970;1
EPI_ISL_412971;1
EPI_ISL_412972;1
EPI_ISL_412973;1
EPI_ISL_412974;1
EPI_ISL_412975;1
EPI_ISL_412978;1
EPI_ISL_412979;1
EPI_ISL_412980;1
EPI_ISL_412981;1
EPI_ISL_412982;1
EPI_ISL_412983;1
EPI_ISL_413014;1
EPI_ISL_413015;1
EPI_ISL_413016;1
EPI_ISL_413017;1
EPI_ISL_413018;1
EPI_ISL_413020;1
EPI_ISL_413021;1
EPI_ISL_413022;1
EPI_ISL_413023;1
EPI_ISL_413024;1
EPI_ISL_413025;1
EPI_ISL_413213;1
EPI_ISL_413214;1
EPI_ISL_413221;1
EPI_ISL_413455;1
EPI_ISL_413456;1
EPI_ISL_413457;1
EPI_ISL_413458;1
EPI_ISL_413459;1
EPI_ISL_413485;1
EPI_ISL_413486;1
EPI_ISL_413487;1
EPI_ISL_413488;1
EPI_ISL_413489;1
EPI_ISL_413490;1
EPI_ISL_413513;1
EPI_ISL_413514;1
EPI_ISL_413515;1
EPI_ISL_413516;1
EPI_ISL_413518;1
EPI_ISL_413519;1
EPI_ISL_413520;1
EPI_ISL_413521;1
EPI_ISL_413522;1
EPI_ISL_413523;1
EPI_ISL_413550;1
EPI_ISL_413555;1
EPI_ISL_413556;1
EPI_ISL_413557;1
EPI_ISL_413558;1
EPI_ISL_413559;1
EPI_ISL_413560;1
EPI_ISL_413561;1
EPI_ISL_413562;1
EPI_ISL_413563;1
EPI_ISL_413564;1
EPI_ISL_413565;1
EPI_ISL_413566;1
EPI_ISL_413567;1
EPI_ISL_413568;1
EPI_ISL_413569;1
EPI_ISL_413570;1
EPI_ISL_413571;1
EPI_ISL_413572;1
EPI_ISL_413573;1
EPI_ISL_413574;1
EPI_ISL_413576;1
EPI_ISL_413577;1
EPI_ISL_413578;1
EPI_ISL_413579;1
EPI_ISL_413581;1
EPI_ISL_413582;1
EPI_ISL_413583;1
EPI_ISL_413584;1
EPI_ISL_413585;1
EPI_ISL_413586;1
EPI_ISL_413587;1
EPI_ISL_413588;1
EPI_ISL_413589;1
EPI_ISL_413591;1
EPI_ISL_413592;1
EPI_ISL_413593;1
EPI_ISL_413594;1
EPI_ISL_413595;1
EPI_ISL_413596;1
EPI_ISL_413597;1
EPI_ISL_413598;1
EPI_ISL_413599;1
EPI_ISL_413600;1
EPI_ISL_413601;1
EPI_ISL_413602;1
EPI_ISL_413603;1
EPI_ISL_413604;1
EPI_ISL_413605;1
EPI_ISL_413606;1
EPI_ISL_413607;1
EPI_ISL_413609;1
EPI_ISL_413611;1
EPI_ISL_413612;1
EPI_ISL_413613;1
EPI_ISL_413615;1
EPI_ISL_413616;1
EPI_ISL_413617;1
EPI_ISL_413619;1
EPI_ISL_413622;1
EPI_ISL_413623;1
EPI_ISL_413647;1
EPI_ISL_413648;1
EPI_ISL_413649;1
EPI_ISL_413650;1
EPI_ISL_413651;1
EPI_ISL_413652;1
EPI_ISL_413653;1
EPI_ISL_413691;1
EPI_ISL_413692;1
EPI_ISL_413693;1
EPI_ISL_413694;1
EPI_ISL_413695;1
EPI_ISL_413696;1
EPI_ISL_413697;1
EPI_ISL_413711;1
EPI_ISL_413729;1
EPI_ISL_413746;1
EPI_ISL_413747;1
EPI_ISL_413748;1
EPI_ISL_413749;1
EPI_ISL_413750;1
EPI_ISL_413751;1
EPI_ISL_413752;1
EPI_ISL_413753;1
EPI_ISL_413761;1
EPI_ISL_413791;1
EPI_ISL_413809;1
EPI_ISL_413850;1
EPI_ISL_413851;1
EPI_ISL_413852;1
EPI_ISL_413853;1
EPI_ISL_413854;1
EPI_ISL_413855;1
EPI_ISL_413856;1
EPI_ISL_413857;1
EPI_ISL_413858;1
EPI_ISL_413859;1
EPI_ISL_413860;1
EPI_ISL_413861;1
EPI_ISL_413862;1
EPI_ISL_413863;1
EPI_ISL_413864;1
EPI_ISL_413865;1
EPI_ISL_413866;1
EPI_ISL_413867;1
EPI_ISL_413868;1
EPI_ISL_413869;1
EPI_ISL_413870;1
EPI_ISL_413871;1
EPI_ISL_413872;1
EPI_ISL_413873;1
EPI_ISL_413874;1
EPI_ISL_413875;1
EPI_ISL_413876;1
EPI_ISL_413877;1
EPI_ISL_413878;1
EPI_ISL_413879;1
EPI_ISL_413880;1
EPI_ISL_413881;1
EPI_ISL_413882;1
EPI_ISL_413883;1
EPI_ISL_413884;1
EPI_ISL_413885;1
EPI_ISL_413886;1
EPI_ISL_413887;1
EPI_ISL_413888;1
EPI_ISL_413889;1
EPI_ISL_413890;1
EPI_ISL_413891;1
EPI_ISL_413892;1
EPI_ISL_413893;1
EPI_ISL_413894;1
EPI_ISL_413895;1
EPI_ISL_413896;1
EPI_ISL_413897;1
EPI_ISL_413898;1
EPI_ISL_413899;1
EPI_ISL_413900;1
EPI_ISL_413901;1
EPI_ISL_413902;1
EPI_ISL_413922;1
EPI_ISL_413924;1
EPI_ISL_413925;1
EPI_ISL_413926;1
EPI_ISL_413928;1
EPI_ISL_413930;1
EPI_ISL_413931;1
EPI_ISL_413996;1
EPI_ISL_413997;1
EPI_ISL_413999;1
EPI_ISL_414005;1
EPI_ISL_414006;1
EPI_ISL_414007;1
EPI_ISL_414008;1
EPI_ISL_414009;1
EPI_ISL_414010;1
EPI_ISL_414011;1
EPI_ISL_414012;1
EPI_ISL_414013;1
EPI_ISL_414014;1
EPI_ISL_414015;1
EPI_ISL_414016;1
EPI_ISL_414017;1
EPI_ISL_414019;1
EPI_ISL_414020;1
EPI_ISL_414021;1
EPI_ISL_414022;1
EPI_ISL_414023;1
EPI_ISL_414024;1
EPI_ISL_414025;1
EPI_ISL_414026;1
EPI_ISL_414027;1
EPI_ISL_414040;1
EPI_ISL_414041;1
EPI_ISL_414042;1
EPI_ISL_414043;1
EPI_ISL_414044;1
EPI_ISL_414045;1
EPI_ISL_414363;1
EPI_ISL_414364;1
EPI_ISL_414365;1
EPI_ISL_414366;1
EPI_ISL_414367;1
EPI_ISL_414368;1
EPI_ISL_414369;1
EPI_ISL_414378;1
EPI_ISL_414379;1
EPI_ISL_414380;1
EPI_ISL_414414;1
EPI_ISL_414423;1
EPI_ISL_414424;1
EPI_ISL_414425;1
EPI_ISL_414426;1
EPI_ISL_414427;1
EPI_ISL_414428;1
EPI_ISL_414429;1
EPI_ISL_414430;1
EPI_ISL_414431;1
EPI_ISL_414432;1
EPI_ISL_414433;1
EPI_ISL_414434;1
EPI_ISL_414435;1
EPI_ISL_414436;1
EPI_ISL_414437;1
EPI_ISL_414438;1
EPI_ISL_414439;1
EPI_ISL_414440;1
EPI_ISL_414441;1
EPI_ISL_414442;1
EPI_ISL_414443;1
EPI_ISL_414444;1
EPI_ISL_414445;1
EPI_ISL_414446;1
EPI_ISL_414448;1
EPI_ISL_414449;1
EPI_ISL_414450;1
EPI_ISL_414451;1
EPI_ISL_414452;1
EPI_ISL_414453;1
EPI_ISL_414454;1
EPI_ISL_414455;1
EPI_ISL_414456;1
EPI_ISL_414457;1
EPI_ISL_414458;1
EPI_ISL_414459;1
EPI_ISL_414460;1
EPI_ISL_414461;1
EPI_ISL_414462;1
EPI_ISL_414463;1
EPI_ISL_414464;1
EPI_ISL_414465;1
EPI_ISL_414466;1
EPI_ISL_414467;1
EPI_ISL_414468;1
EPI_ISL_414469;1
EPI_ISL_414470;1
EPI_ISL_414471;1
EPI_ISL_414476;1
EPI_ISL_414477;1
EPI_ISL_414480;1
EPI_ISL_414482;1
EPI_ISL_414483;1
EPI_ISL_414484;1
EPI_ISL_414485;1
EPI_ISL_414486;1
EPI_ISL_414488;1
EPI_ISL_414495;1
EPI_ISL_414496;1
EPI_ISL_414497;1
EPI_ISL_414498;1
EPI_ISL_414499;1
EPI_ISL_414500;1
EPI_ISL_414501;1
EPI_ISL_414504;1
EPI_ISL_414505;1
EPI_ISL_414506;1
EPI_ISL_414507;1
EPI_ISL_414508;1
EPI_ISL_414509;1
EPI_ISL_414510;1
EPI_ISL_414511;1
EPI_ISL_414517;1
EPI_ISL_414519;1
EPI_ISL_414520;1
EPI_ISL_414521;1
EPI_ISL_414522;1
EPI_ISL_414523;1
EPI_ISL_414524;1
EPI_ISL_414525;1
EPI_ISL_414526;1
EPI_ISL_414527;1
EPI_ISL_414528;1
EPI_ISL_414529;1
EPI_ISL_414530;1
EPI_ISL_414531;1
EPI_ISL_414532;1
EPI_ISL_414533;1
EPI_ISL_414534;1
EPI_ISL_414535;1
EPI_ISL_414536;1
EPI_ISL_414537;1
EPI_ISL_414538;1
EPI_ISL_414539;1
EPI_ISL_414540;1
EPI_ISL_414541;1
EPI_ISL_414542;1
EPI_ISL_414543;1
EPI_ISL_414544;1
EPI_ISL_414545;1
EPI_ISL_414546;1
EPI_ISL_414547;1
EPI_ISL_414548;1
EPI_ISL_414549;1
EPI_ISL_414554;1
EPI_ISL_414555;1
EPI_ISL_414556;1
EPI_ISL_414557;1
EPI_ISL_414559;1
EPI_ISL_414560;1
EPI_ISL_414561;1
EPI_ISL_414562;1
EPI_ISL_414563;1
EPI_ISL_414564;1
EPI_ISL_414565;1
EPI_ISL_414566;1
EPI_ISL_414567;1
EPI_ISL_414569;1
EPI_ISL_414571;1
EPI_ISL_414574;1
EPI_ISL_414577;1
EPI_ISL_414578;1
EPI_ISL_414579;1
EPI_ISL_414580;1
EPI_ISL_414584;1
EPI_ISL_414585;1
EPI_ISL_414586;1
EPI_ISL_414587;1
EPI_ISL_414589;1
EPI_ISL_414590;1
EPI_ISL_414591;1
EPI_ISL_414592;1
EPI_ISL_414593;1
EPI_ISL_414594;1
EPI_ISL_414595;1
EPI_ISL_414596;1
EPI_ISL_414597;1
EPI_ISL_414598;1
EPI_ISL_414616;1
EPI_ISL_414617;1
EPI_ISL_414618;1
EPI_ISL_414619;1
EPI_ISL_414620;1
EPI_ISL_414621;1
EPI_ISL_414622;1
EPI_ISL_414623;1
EPI_ISL_414624;1
EPI_ISL_414625;1
EPI_ISL_414626;1
EPI_ISL_414627;1
EPI_ISL_414628;1
EPI_ISL_414629;1
EPI_ISL_414630;1
EPI_ISL_414631;1
EPI_ISL_414632;1
EPI_ISL_414633;1
EPI_ISL_414634;1
EPI_ISL_414635;1
EPI_ISL_414636;1
EPI_ISL_414637;1
EPI_ISL_414638;1
EPI_ISL_414639;1
EPI_ISL_414640;1
EPI_ISL_414641;1
EPI_ISL_414642;1
EPI_ISL_414643;1
EPI_ISL_414644;1
EPI_ISL_414645;1
EPI_ISL_414646;1
EPI_ISL_414647;1
EPI_ISL_414648;1
EPI_ISL_414663;1
EPI_ISL_414686;1
EPI_ISL_414687;1
EPI_ISL_414688;1
EPI_ISL_414689;1
EPI_ISL_414690;1
EPI_ISL_414692;1
EPI_ISL_414936;1
EPI_ISL_414938;1
EPI_ISL_414939;1
EPI_ISL_414940;1
EPI_ISL_414941;1
EPI_ISL_414949;1
EPI_ISL_415041;1
EPI_ISL_415105;1
EPI_ISL_415128;1
EPI_ISL_415129;1
EPI_ISL_415130;1
EPI_ISL_415131;1
EPI_ISL_415132;1
EPI_ISL_415133;1
EPI_ISL_415134;1
EPI_ISL_415135;1
EPI_ISL_415136;1
EPI_ISL_415137;1
EPI_ISL_415138;1
EPI_ISL_415139;1
EPI_ISL_415140;1
EPI_ISL_415141;1
EPI_ISL_415142;1
EPI_ISL_415143;1
EPI_ISL_415144;1
EPI_ISL_415145;1
EPI_ISL_415146;1
EPI_ISL_415147;1
EPI_ISL_415148;1
EPI_ISL_415149;1
EPI_ISL_415150;1
EPI_ISL_415151;1
EPI_ISL_415152;1
EPI_ISL_415153;1
EPI_ISL_415154;1
EPI_ISL_415155;1
EPI_ISL_415156;1
EPI_ISL_415157;1
EPI_ISL_415158;1
EPI_ISL_415159;1
EPI_ISL_415435;1
EPI_ISL_415453;1
EPI_ISL_415454;1
EPI_ISL_415456;1
EPI_ISL_415457;1
EPI_ISL_415458;1
EPI_ISL_415459;1
EPI_ISL_415460;1
EPI_ISL_415462;1
EPI_ISL_415463;1
EPI_ISL_415464;1
EPI_ISL_415465;1
EPI_ISL_415466;1
EPI_ISL_415467;1
EPI_ISL_415468;1
EPI_ISL_415469;1
EPI_ISL_415470;1
EPI_ISL_415471;1
EPI_ISL_415472;1
EPI_ISL_415473;1
EPI_ISL_415474;1
EPI_ISL_415475;1
EPI_ISL_415476;1
EPI_ISL_415477;1
EPI_ISL_415478;1
EPI_ISL_415479;1
EPI_ISL_415480;1
EPI_ISL_415481;1
EPI_ISL_415482;1
EPI_ISL_415483;1
EPI_ISL_415484;1
EPI_ISL_415485;1
EPI_ISL_415486;1
EPI_ISL_415487;1
EPI_ISL_415488;1
EPI_ISL_415489;1
EPI_ISL_415490;1
EPI_ISL_415491;1
EPI_ISL_415492;1
EPI_ISL_415493;1
EPI_ISL_415494;1
EPI_ISL_415495;1
EPI_ISL_415496;1
EPI_ISL_415497;1
EPI_ISL_415498;1
EPI_ISL_415499;1
EPI_ISL_415500;1
EPI_ISL_415501;1
EPI_ISL_415502;1
EPI_ISL_415503;1
EPI_ISL_415504;1
EPI_ISL_415505;1
EPI_ISL_415506;1
EPI_ISL_415507;1
EPI_ISL_415508;1
EPI_ISL_415509;1
EPI_ISL_415510;1
EPI_ISL_415511;1
EPI_ISL_415512;1
EPI_ISL_415513;1
EPI_ISL_415514;1
EPI_ISL_415515;1
EPI_ISL_415516;1
EPI_ISL_415517;1
EPI_ISL_415518;1
EPI_ISL_415519;1
EPI_ISL_415520;1
EPI_ISL_415521;1
EPI_ISL_415522;1
EPI_ISL_415523;1
EPI_ISL_415524;1
EPI_ISL_415525;1
EPI_ISL_415526;1
EPI_ISL_415527;1
EPI_ISL_415528;1
EPI_ISL_415529;1
EPI_ISL_415530;1
EPI_ISL_415531;1
EPI_ISL_415532;1
EPI_ISL_415533;1
EPI_ISL_415534;1
EPI_ISL_415535;1
EPI_ISL_415536;1
EPI_ISL_415537;1
EPI_ISL_415538;1
EPI_ISL_415577;1
EPI_ISL_415578;1
EPI_ISL_415579;1
EPI_ISL_415580;1
EPI_ISL_415581;1
EPI_ISL_415582;1
EPI_ISL_415584;1
EPI_ISL_415585;1
EPI_ISL_415586;1
EPI_ISL_415587;1
EPI_ISL_415588;1
EPI_ISL_415589;1
EPI_ISL_415590;1
EPI_ISL_415591;1
EPI_ISL_415592;1
EPI_ISL_415593;1
EPI_ISL_415594;1
EPI_ISL_415595;1
EPI_ISL_415596;1
EPI_ISL_415597;1
EPI_ISL_415598;1
EPI_ISL_415599;1
EPI_ISL_415600;1
EPI_ISL_415601;1
EPI_ISL_415602;1
EPI_ISL_415603;1
EPI_ISL_415604;1
EPI_ISL_415605;1
EPI_ISL_415606;1
