"value","fixed"
"China:Wuhan","Asia:China:Hubei:Wuhan"
"USA:WI,Madison","North America:USA:Wisconsin:Madison"
"Nepal: Kathmandu","Asia:Nepal:Kathmandu:-"
"USA: Seattle, WA","North America:USA:Washington:Seattle"
"USA: WA","North America:USA:Washington:-"
"USA:WA","North America:USA:Washington:-"
"USA","North America:USA:-:-"
"Australia: Melbourne, Victoria","Oceania:Australia:Victoria:Melbourne"
"China: Hubei","Asia:China:Hubei:-"
"USA: Washington","North America:USA:Washington:-"
"Australia: Victoria","Oceania:Australia:Victoria:-"
"Australia: Northern Territory","Oceania:Australia:Northern Territory:-"
"Peru: Lima","South America:Peru:Lima:-"
"Cambodia:Sihanoukville","Asia:Cambodia:Sihanoukville:-"
"Malaysia: Kuala Lumpur","Asia:Malaysia:Kuala Lumpur:-"
"Germany","Europe:Germany:-:-"
"South Africa: KwaZulu-Natal","Africa:South Africa:KwaZulu-Natal:-"
"Malaysia","Asia:Malaysia:-:-"
"India: Rajkot","Asia:India:Gujarat:Rajkot"
"USA:Virginia","North America:USA:Virginia:-"
"Israel","Asia:Israel:-:-"
"Germany: Dusseldorf","Europe:Germany:Dusseldorf:-"
"Germany: Heinsberg","Europe:Germany:North Rhine Westphalia:Heinsberg District"
"China:Shanghai","Asia:China:Shanghai:-"
"Netherlands: Leiden","Europe:Netherlands:Leiden:-"
"Egypt","Africa:Egypt:-:-"
"USA:Los Angeles","North America:USA:California:Los Angeles"
"USA:Minnesota","North America:USA:Minnesota:-"
"USA: Hamilton, MT","North America:USA:Montana:Hamilton"
"Bangladesh","Asia:Bangladesh:-:-"
"USA: Georgia","North America:USA:Georgia:-"
"Australia: NSW","Oceania:Australia:New South Wales:-"
"USA: Virginia","North America:USA:Virginia:-"
"USA:California","North America:USA:California:-"
"Portugal","Europe:Portugal:-:-"
"USA: CA, San Diego County","North America:USA:California:San Diego County"
"United Kingdom:Scotland","Europe:United Kingdom:Scotland:-"
"United Kingdom:Wales","Europe:United Kingdom:Wales:-"
"United Kingdom:England","Europe:United Kingdom:England:-"
"Spain:Valencia","Europe:Spain:Comunitat Valenciana:Valencia"
"China","Asia:China:-:-"
