value,fixed,table_name,column_name,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values (",,,,,,,,
China:Wuhan,Asia:China:Hubei:Wuhan,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','China:Wuhan','Asia:China:Hubei:Wuhan'",,,,,,,,
"USA:WI,Madison",North America:USA:Wisconsin:Madison,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA:WI,Madison','North America:USA:Wisconsin:Madison'",,,,,,,,
Nepal: Kathmandu,Asia:Nepal:Kathmandu:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Nepal: Kathmandu','Asia:Nepal:Kathmandu:-'",,,,,,,,
"USA: Seattle, WA",North America:USA:Washington:Seattle,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: Seattle, WA','North America:USA:Washington:Seattle'",,,,,,,,
USA: WA,North America:USA:Washington:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: WA','North America:USA:Washington:-'",,,,,,,,
USA:WA,North America:USA:Washington:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA:WA','North America:USA:Washington:-'",,,,,,,,
USA,North America:USA:-:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA','North America:USA:-:-'",,,,,,,,
"Australia: Melbourne, Victoria",Oceania:Australia:Victoria:Melbourne,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','Australia: Melbourne, Victoria','Oceania:Australia:Victoria:Melbourne'",,,,,,,,
China: Hubei,Asia:China:Hubei:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','China: Hubei','Asia:China:Hubei:-'",,,,,,,,
USA: Washington,North America:USA:Washington:-,sample_table,host_geo_origin,"insert into harmonization_table (table_name, column_name, valid_value, final_value) values ('sample_table','host_geo_origin','USA: Washington','North America:USA:Washington:-'",,,,,,,,
