uniprot_id,class,type,start.x,end.x,cds_name,cds_syn_alias,locus_tag,id,accession,annot,feature_type,start.y,end.y,chain_id,feature_name,mat_syn_alias,ontology_term,evidence,Entry_name,Status,Protein_names,Gene_names,Organism,Length,nt_coord_start,nt_coord_end
P0DTC1,cds,product,266,13483,ORF1a polyprotein,pp1a,NA,NA,YP_009725295.1,NA,Chain,4393,4405,PRO_0000449645,Non-structural protein 11,nsp11,ECO:0000250,NA,R1A_SARS2,reviewed,Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (SARS coronavirus main proteinase) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)],NA,Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2),4405,13442,13480
P0DTC1,cds,product,266,13483,ORF1a polyprotein,pp1a,NA,NA,YP_009725295.1,NA,Transmembrane,2226,2246,NA,Helical,,ECO:0000255,NA,R1A_SARS2,reviewed,Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (SARS coronavirus main proteinase) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)],NA,Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2),4405,6941,7003
P0DTC1,cds,product,266,13483,ORF1a polyprotein,pp1a,NA,NA,YP_009725295.1,NA,Chain,3943,4140,PRO_0000449642,Non-structural protein 8,nsp8,ECO:0000250,NA,R1A_SARS2,reviewed,Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (SARS coronavirus main proteinase) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)],NA,Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2),4405,12092,12685
P0DTC1,cds,product,266,13483,ORF1a polyprotein,pp1a,NA,NA,YP_009725295.1,NA,Chain,4254,4392,PRO_0000449644,Non-structural protein 10,nsp10,ECO:0000250,NA,R1A_SARS2,reviewed,Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (SARS coronavirus main proteinase) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)],NA,Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2),4405,13025,13441
P0DTC1,cds,product,266,13483,ORF1a polyprotein,pp1a,NA,NA,YP_009725295.1,NA,Chain,3570,3859,PRO_0000449640,Non-structural protein 6,nsp6,ECO:0000250,NA,R1A_SARS2,reviewed,Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (SARS coronavirus main proteinase) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)],NA,Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2),4405,10973,11842
P0DTC1,cds,product,266,13483,ORF1a polyprotein,pp1a,NA,NA,YP_009725295.1,NA,Chain,3860,3942,PRO_0000449641,Non-structural protein 7,nsp7,ECO:0000250,NA,R1A_SARS2,reviewed,Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (SARS coronavirus main proteinase) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)],NA,Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2),4405,11843,12091
P0DTC1,cds,product,266,13483,ORF1a polyprotein,pp1a,NA,NA,YP_009725295.1,NA,Chain,1,4405,PRO_0000449634,Replicase polyprotein 1a,,ECO:0000250,NA,R1A_SARS2,reviewed,Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (SARS coronavirus main proteinase) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)],NA,Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2),4405,266,13480
P0DTC1,cds,product,266,13483,ORF1a polyprotein,pp1a,NA,NA,YP_009725295.1,NA,Transmembrane,3587,3607,NA,Helical,,ECO:0000255,NA,R1A_SARS2,reviewed,Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (SARS coronavirus main proteinase) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)],NA,Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2),4405,11024,11086
P0DTC1,cds,product,266,13483,ORF1a polyprotein,pp1a,NA,NA,YP_009725295.1,NA,Transmembrane,3609,3629,NA,Helical,,ECO:0000255,NA,R1A_SARS2,reviewed,Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (SARS coronavirus main proteinase) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)],NA,Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2),4405,11090,11152
P0DTC1,cds,product,266,13483,ORF1a polyprotein,pp1a,NA,NA,YP_009725295.1,NA,Transmembrane,3635,3655,NA,Helical,,ECO:0000255,NA,R1A_SARS2,reviewed,Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (SARS coronavirus main proteinase) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)],NA,Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2),4405,11168,11230
